Subject_ID,Group,Pearson_r,Pearson_p,Spearman_rho,Jaccard,Cosine_Similarity,Mean_Abs_Diff,RMSD,Rank
sub-30028,AD,0.5937252922526481,0.0,0.6034174409839423,0.24173027989821882,0.9084692936392085,0.062123694154352246,0.08188629469244817,52
sub-30001,AD,0.5935204239488181,0.0,0.6052458333157299,0.25773195876288657,0.9090925424817324,0.06192636663571579,0.08204418703454372,53
sub-30019,AD,0.5932131622443992,0.0,0.6038125843731326,0.2538540596094553,0.9090106287162122,0.06158680339325838,0.08166798467208412,54
sub-30016,AD,0.5929787077029635,0.0,0.6040258365826697,0.2564366632337796,0.9090721140561008,0.06156289212475623,0.08169448793897993,55
sub-30033,AD,0.5927189407513167,0.0,0.6025368689266783,0.24173027989821882,0.9089716314132158,0.06205338918751815,0.08200040090719625,56
sub-30018,AD,0.5921677085355163,0.0,0.6025225997861522,0.24808184143222506,0.9086687081956196,0.06228679591303353,0.08236735000070303,57
sub-30024,AD,0.591942175013305,0.0,0.6038824419323326,0.2436289500509684,0.9100842115771227,0.06179274291937361,0.08181752619947955,58
sub-30009,AD,0.5919229760448842,0.0,0.602568772694499,0.25064069707842135,0.9084109809633277,0.06236814290700253,0.08238419589715136,59
sub-30031,AD,0.5900057578953605,0.0,0.5987067063139637,0.24109867751780265,0.9079058842116043,0.06256389762742934,0.08235894407256936,60
sub-30017,AD,0.5896362492229329,0.0,0.5996919240237808,0.2538540596094553,0.909413539912301,0.06162241944404467,0.08146006927798585,61
sub-30010,AD,0.58962637646317,0.0,0.6002554371923254,0.24616956077630234,0.9069487680396827,0.06270693980000053,0.08335915098330236,62
sub-30006,AD,0.5894188982409594,0.0,0.5996756185856215,0.24236252545824846,0.9092918034805372,0.06190364947103139,0.0817191366255833,63
sub-30004,AD,0.5883743674521356,0.0,0.5970349824280072,0.25256673511293637,0.9086984057098791,0.062450267586668426,0.08246536978094972,64
sub-30015,AD,0.5876911538077845,0.0,0.5998410479360835,0.24109867751780265,0.9082868249376754,0.06198821164165239,0.08232167772676327,65
sub-30021,AD,0.5850065929628694,0.0,0.593346282115934,0.2366953877344146,0.9073259518656414,0.062494576130437386,0.08231459436303608,66
