Subject_ID,Group,Pearson_r,Pearson_p,Spearman_rho,Jaccard,Cosine_Similarity,Mean_Abs_Diff,RMSD,Rank
sub-10002,HC,0.668176347709108,0.0,0.6664708537453737,0.3199783432593395,0.9343188352198886,0.051578924467788695,0.06529117563894177,45
sub-10023,HC,0.6677601006305733,0.0,0.6649703967373081,0.32861035422343327,0.9340564249069772,0.05168796466286021,0.06497632884823275,46
sub-10011,HC,0.6669496342228046,0.0,0.6625994633914931,0.3171258779038358,0.9343228616022851,0.0522157249587888,0.06518386511639668,47
sub-10017,HC,0.6664849520626122,0.0,0.667673716167346,0.3030464991982897,0.9332820696235711,0.05201004399777888,0.06549730549716501,48
sub-10007,HC,0.6664443515877574,0.0,0.6683652375406136,0.2995735607675906,0.9348299944560132,0.05144030669521989,0.06473128712035009,49
sub-10014,HC,0.666395969234719,0.0,0.6645080279670668,0.3185505678745268,0.9334390238571607,0.052124463698351955,0.06542090435754726,50
sub-10027,HC,0.6662047835093295,0.0,0.6648635166154897,0.3149946062567422,0.9336611250036877,0.05211892368690299,0.06536122672958557,51
sub-10009,HC,0.6661402922786821,0.0,0.6669877940017986,0.30723860589812335,0.9342769010474536,0.051522889695542896,0.06505938982114406,52
sub-10006,HC,0.6658866117884175,0.0,0.6651838478338571,0.3242802824551874,0.9338284078088498,0.05210931877755663,0.06553017028392988,53
sub-10008,HC,0.6658587001635787,0.0,0.6683328434097697,0.30934479054779807,0.9334888571990247,0.052353309363153994,0.06571113916702061,54
sub-10029,HC,0.6656171385314784,0.0,0.6651340910955433,0.30934479054779807,0.9329990892239387,0.05249286460896073,0.06592521538158824,55
sub-10022,HC,0.6647903943593378,0.0,0.6666985029660226,0.30864197530864196,0.9332182932039264,0.051966095710386566,0.06535441622316995,56
sub-10021,HC,0.6638533209328303,0.0,0.6641768374189283,0.30793991416309013,0.9322802137258873,0.0523834912309981,0.06614422559228879,57
sub-10019,HC,0.6636714341157803,0.0,0.6642697104811484,0.31145777299623456,0.9338528924679451,0.05190374518646312,0.06531925788214625,58
sub-10020,HC,0.6636601529543774,0.0,0.6599615299837771,0.2974986695050559,0.9331935464869268,0.05218183445334338,0.06547968399824759,59
sub-10003,HC,0.6631733534741996,0.0,0.6633449013577276,0.3142857142857143,0.9326962941156025,0.05280247497013119,0.06607764193168617,60
sub-10030,HC,0.6617498473293211,0.0,0.6630561671320464,0.3030464991982897,0.9332260015626408,0.052169053662806816,0.06567506851101737,61
sub-10005,HC,0.6613637086630538,0.0,0.6599780144499705,0.3065380493033226,0.9330743802850026,0.0524311758534683,0.06591104968488844,62
sub-10016,HC,0.6612122696042495,0.0,0.6617949246347763,0.3171258779038358,0.9330949151099838,0.05198177363030496,0.06547717836300641,63
sub-10031,HC,0.6564699851862568,0.0,0.6546227285763127,0.2988811933937134,0.9319661399348944,0.05254961177303399,0.06623451943124356,64
sub-10004,HC,0.6550270590268745,0.0,0.6545646273024365,0.30723860589812335,0.9312095051358639,0.0528460795835427,0.06659103203444042,65
sub-10028,HC,0.6534393930598642,0.0,0.6551317844691444,0.2988811933937134,0.9312212550882557,0.05297101004369437,0.0665976275352539,66
